,ranking,artist,song,year
374,13.0,Lil Uzi Vert,XO TOUR Llif3,2017
375,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
376,77.0,Trey Songz,Heart Attack,2012
377,78.0,Kirko Bangz,Drank In My Cup,2012
378,79.0,Rihanna feat. Chris Brown,Birthday Cake,2012
379,80.0,B.o.B,So Good,2012
380,20.0,U.S.A. For Africa,We Are The World,1985
381,21.0,Tears For Fears,Shout,1985
382,22.0,Stevie Wonder,Part-Time Lover,1985
383,23.0,Whitney Houston,Saving All My Love For You,1985
384,24.0,Bryan Adams,Heaven,1985
385,18.0,Pointer Sisters,Jump (For My Love),1984
386,19.0,Romantics,Talking In Your Sleep,1984
387,20.0,Laura Branigan,Self Control,1984
388,21.0,Prince and The Revolution,Let’s Go Crazy,1984
389,22.0,Daryl Hall and John Oates,Say It Isn’t So,1984
390,23.0,Thompson Twins,Hold Me Now,1984
391,16.0,Sergio Mendes,Never Gonna Let You Go,1983
392,17.0,Duran Duran,Hungry Like The Wolf,1983
393,18.0,David Bowie,Let’s Dance,1983
394,19.0,Golden Earring,Twilight Zone,1983
395,21.0,Jay-Z and Alicia Keys,Empire State of Mind,2010
396,22.0,Usher feat. Pitbull,DJ Got Us Fallin’ in Love,2010
397,23.0,Travie McCoy feat. Bruno Mars,Billionaire,2010
398,24.0,Eminem,Not Afraid,2010
399,25.0,Iyaz,Replay,2010
400,26.0,David Guetta feat. Akon,Sexy Chick,2010
401,27.0,The Script,Breakeven,2010
402,28.0,Ke$ha,Your Love Is My Drug,2010
403,29.0,Black Eyed Peas,I Gotta Feeling,2010
404,14.0,Future,Mask Off,2017
405,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
406,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
407,81.0,Train,50 Ways To Say Goodbye,2012
408,82.0,Toby Keith,Red Solo Cup,2012
409,83.0,Selena Gomez and The Scene,Love You Like A Love Song,2012
410,84.0,Chris Brown,Turn Up The Music,2012
411,85.0,Ke$ha,Die Young,2012
412,25.0,Wham!,Everything She Wants,1985
413,26.0,New Edition,Cool It Now,1985
414,27.0,Jan Hammer,Miami Vice Theme,1985
415,28.0,Billy Ocean,Lover Boy,1985
416,29.0,Teena Marie,Lover Girl,1985
417,30.0,Glenn Frey,You Belong To The City,1985
418,31.0,Ready For The World,Oh Sheila,1985
419,32.0,Debarge,Rhythm Of The Night,1985
420,24.0,Kool and The Gang,Joanna,1984
421,25.0,Stevie Wonder,I Just Called To Say I Love You,1984
422,26.0,Rockwell,Somebody’s Watching Me,1984
423,27.0,Matthew Wilder,Break My Stride,1984
424,28.0,Nena,99 Luftballons,1984
425,29.0,Dan Hartman,I Can Dream About You,1984
426,30.0,Sheila E.,The Glamorous Life,1984
427,31.0,Steve Perry,Oh Sherrie,1984
428,32.0,Lionel Richie,Stuck On You,1984
429,33.0,Elton John,I Guess That’s Why They Call It The Blues,1984
430,34.0,Cyndi Lauper,She Bop,1984
431,20.0,Frida,I Know There’s Something Going On,1983
432,21.0,Greg Kihn Band,Jeopardy,1983
433,30.0,Owl City,Fireflies,2010
434,31.0,Trey Songz feat. Fabolous,Say Aah,2010
435,32.0,Drake,Find Your Love,2010
436,33.0,Lady Gaga,Alejandro,2010
437,34.0,Jason Derulo,Ridin’ Solo,2010
438,35.0,Nelly,Just A Dream,2010
439,36.0,Ludacris,How Low,2010
440,15.0,French Montana Featuring Swae Lee,Unforgettable,2017
441,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
442,86.0,T-Pain feat. Wiz Khalifa and Lily Allen,5 O’Clock,2012
443,87.0,Christina Perri,A Thousand Years,2012
444,88.0,Jason Aldean,Take A Little Ride,2012
445,89.0,Rihanna,You Da One,2012
446,90.0,Havana Brown feat. Pitbull,We Run The Night,2012
447,91.0,Imagine Dragons,It’s Time,2012
448,92.0,Ca$h Out,Cashin’ Out,2012
449,93.0,Luke Bryan,I Don’t Want This Night To End,2012
450,94.0,Rihanna,Diamonds,2012
451,33.0,Phil Collins,One More Night,1985
452,34.0,Honeydrippers,Sea Of Love,1985
453,35.0,Duran Duran,A View To A Kill,1985
454,36.0,Duran Duran,The Wild Boys,1985
455,35.0,Madonna,Borderline,1984
456,36.0,Corey Hart,Sunglasses At Night,1984
457,37.0,Billy Idol,Eyes Without A Face,1984
458,38.0,Eurythmics,Here Comes The Rain Again,1984
459,39.0,Billy Joel,Uptown Girl,1984
460,40.0,Night Ranger,Sister Christian,1984
461,41.0,Cars,Drive,1984
462,42.0,Olivia Newton-John,Twist Of Fate,1984
463,22.0,Eddy Grant,Electric Avenue,1983
464,23.0,Thomas Dolby,She Blinded Me Withh Science,1983
465,24.0,Toto,Africa,1983
466,25.0,Prince,Little Red Corvette,1983
467,26.0,Pretenders,Back On The Chain Gang,1983
468,27.0,Joe Cocker and Jennifer Warnes,Up Where We Belong,1983
469,28.0,Styx,Mr. Roboto,1983
470,29.0,Lionel Richie,You Are,1983
471,30.0,After The Fire,Der Kommissar,1983
472,31.0,Taco,Puttin’ On The Ritz,1983
473,32.0,Marvin Gaye,Sexual Healing,1983
474,37.0,Far East Movement feat. The Cataracs and Dev,Like A G6,2010
475,38.0,Timbaland feat. Justin Timberlake,Carry Out,2010
476,39.0,Michael Buble,Haven’t Met You Yet,2010
477,40.0,Flo Rida feat. David Guetta,Club Can’t Handle Me,2010
478,41.0,Jay Sean feat. Lil Wayne,Down,2010
479,42.0,La Roux,Bulletproof,2010
480,16.0,Bruno Mars,24K Magic,2017
481,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
482,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
483,95.0,Lee Brice,Hard To Love,2012
484,96.0,Kip Moore,Somethin’ ‘Bout A Truck,2012
485,97.0,Miguel,Adorn,2012
486,98.0,Jason Aldean,Fly Over States,2012
487,99.0,Eli Young Band,Even If It Breaks Your Heart,2012
488,100.0,Linkin Park,Burn It Down,2012
489,37.0,Chicago,You’re The Inspiration,1985
490,38.0,Pointer Sisters,Neutron Dance,1985
491,39.0,Pat Benatar,We Belong,1985
492,40.0,Commodores,Nightshift,1985
493,41.0,Howard Jones,Things Can Only Get Better,1985
494,42.0,Jack Wagner,All I Need,1985
495,43.0,Duran Duran,Union Of The Snake,1984
496,44.0,Huey Lewis and The News,The Heart Of Rock ‘N’ Roll,1984
497,45.0,Chicago,Hard Habit To Break,1984
498,46.0,Scandal,The Warrior,1984
499,47.0,Peabo Bryson,If Ever You’re In My Arms Again,1984
500,48.0,Pointer Sisters,Automatic,1984
